Roll No,First name,Last name,DOB /Age,Grade,Grade LL,Section,Mandal,Village Name,Gender (M/F),Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Total Score,Total Marks,Total %,Center,Center_Name
BIH_75,Sarah,,15,10,10,C,Donnaton,Judith Glen,F,2,2,1,2,4,1,0,2,1,2,17,30,56.67,BIH,Bihar
BIH_76,Roy,,6,1,1,C,Jenniferfort,Edward Light,M,0,1,0,2,0,0,3,2,0,1,9,30,30.0,BIH,Bihar
BIH_77,Jon,,11,6,6,C,Lake Robert,Carol Valleys,F,0,1,1,1,0,3,0,1,3,1,11,30,36.67,BIH,Bihar
BIH_78,Oscar,,12,7,7,C,Anthonyberg,Thomas Drives,M,1,1,0,0,0,2,1,1,0,2,8,30,26.67,BIH,Bihar
BIH_79,Brittany,,10,5,5,C,New Laurafort,Owen Turnpike,F,0,4,1,0,3,2,1,3,2,3,19,30,63.33,BIH,Bihar
BIH_80,Douglas,,7,2,2,C,Lake Ashley,Brent Bypass,M,2,3,2,1,4,3,0,1,2,1,19,30,63.33,BIH,Bihar
BIH_81,Pamela,,11,6,6,C,North Stevenport,Jeremy Divide,M,1,2,2,1,3,0,1,3,0,1,14,30,46.67,BIH,Bihar
BIH_82,Terrence,,6,1,1,C,New Luisborough,Hale Turnpike,F,2,1,1,0,3,4,0,1,0,3,15,30,50.0,BIH,Bihar
BIH_83,Gina,,9,4,4,C,Lake Susan,Miller Track,M,0,3,2,2,0,3,3,2,2,3,20,30,66.67,BIH,Bihar
BIH_84,Samantha,,14,9,9,C,New Matthewbury,Watts Greens,M,1,4,2,0,1,3,2,0,2,3,18,30,60.0,BIH,Bihar
BIH_85,Brandi,,9,4,4,C,Port Patrickbury,Paul Place,M,2,4,2,2,3,4,3,0,1,0,21,30,70.0,BIH,Bihar
BIH_86,Joseph,,6,1,1,C,Perryberg,Keller Groves,M,0,3,2,2,3,3,3,2,2,2,22,30,73.33,BIH,Bihar
BIH_87,James,,12,7,7,C,North Mollyberg,Craig Squares,M,0,1,1,0,0,1,3,0,1,1,8,30,26.67,BIH,Bihar
BIH_88,Kathryn,,8,3,3,C,Lake Moniquefort,Shelly Trail,M,0,2,2,1,3,3,2,1,2,3,19,30,63.33,BIH,Bihar
BIH_89,Jack,,10,5,5,C,New Williamborough,Connie Isle,M,2,0,1,1,3,1,2,0,3,3,16,30,53.33,BIH,Bihar
BIH_90,Dawn,,12,7,7,C,Lake Natalie,Johnson Key,M,1,2,1,0,1,1,3,3,0,0,12,30,40.0,BIH,Bihar
BIH_91,George,,14,9,9,D,West Lisa,Sharp Terrace,M,0,1,0,2,1,2,2,3,2,1,14,30,46.67,BIH,Bihar
BIH_92,Todd,,13,8,8,D,East Elizabeth,James Ford,M,2,0,2,1,0,3,2,3,0,3,16,30,53.33,BIH,Bihar
BIH_93,Cynthia,,13,8,8,D,Lake Rebecca,Gardner Trail,F,2,4,0,2,4,1,3,1,1,3,21,30,70.0,BIH,Bihar
BIH_94,David,,15,10,10,D,New Sonyaton,Paula Rapid,M,0,1,0,0,0,3,2,2,0,1,9,30,30.0,BIH,Bihar
BIH_95,Andrea,,11,6,6,D,Jonathanburgh,Oscar Parks,M,1,3,1,0,3,3,1,3,2,1,18,30,60.0,BIH,Bihar
BIH_96,Terri,,7,2,2,D,Dunlaptown,Danielle Route,M,0,0,1,1,1,4,1,2,3,0,13,30,43.33,BIH,Bihar
BIH_97,Denise,,15,10,10,D,East Abigailmouth,Bill Parkway,M,0,2,2,2,2,0,2,1,3,1,15,30,50.0,BIH,Bihar
BIH_98,Charles,,13,8,8,D,Cookberg,Madden Forges,M,1,1,0,0,2,4,3,2,2,2,17,30,56.67,BIH,Bihar
BIH_99,Daniel,,9,4,4,D,Sullivanstad,Singleton Cliff,M,1,0,1,1,3,3,0,0,1,0,10,30,33.33,BIH,Bihar
BIH_100,Tiffany,,10,5,5,D,New Matthew,Herring Route,F,2,3,2,2,1,2,0,2,1,2,17,30,56.67,BIH,Bihar
BIH_101,Jacqueline,,10,5,5,D,Smithview,Jonathan Greens,M,0,1,0,0,1,3,1,2,3,2,13,30,43.33,BIH,Bihar
BIH_102,Kathleen,,6,1,1,D,West Fernandoburgh,Jennifer Estates,F,1,3,1,0,3,3,3,3,3,0,20,30,66.67,BIH,Bihar
BIH_103,Richard,,10,5,5,D,Wallaceville,Kerry View,F,1,4,2,2,4,0,3,0,0,3,19,30,63.33,BIH,Bihar
BIH_104,Crystal,,6,1,1,D,Jessicaville,Williams Crossing,F,2,1,0,1,2,1,1,3,2,1,14,30,46.67,BIH,Bihar
BIH_105,Karen,,16,10,10,D,Montgomeryborough,Thomas Mountain,F,2,4,0,0,2,2,2,1,3,3,19,30,63.33,BIH,Bihar
BIH_106,Shane,,11,6,6,D,Vickieton,Michele Field,F,1,4,2,2,3,0,3,2,0,2,19,30,63.33,BIH,Bihar
BIH_107,John,,13,8,8,D,Gardnerport,Tiffany Mill,M,2,4,1,1,1,0,3,1,2,0,15,30,50.0,BIH,Bihar
BIH_108,Amanda,,12,7,7,D,Davidtown,Nathan Inlet,M,2,2,0,1,4,3,0,1,0,0,13,30,43.33,BIH,Bihar
BIH_109,Rhonda,,8,3,3,D,Alyssamouth,Cruz Avenue,F,2,2,0,0,4,3,2,0,1,2,16,30,53.33,BIH,Bihar
BIH_110,Tamara,,12,7,7,D,Schmidtside,Garrett Center,F,1,0,2,0,0,4,3,1,1,1,13,30,43.33,BIH,Bihar
BIH_111,Melissa,,8,3,3,D,Oliviabury,Cox Mills,M,1,2,1,1,4,0,0,0,1,2,12,30,40.0,BIH,Bihar
BIH_112,Erika,,8,3,3,D,Lake Meagan,Troy Estates,F,0,4,0,1,4,0,3,0,0,3,15,30,50.0,BIH,Bihar
BIH_113,Larry,,10,5,5,D,West Brianport,Hall Roads,F,2,3,1,1,1,3,2,3,0,2,18,30,60.0,BIH,Bihar
BIH_114,Steven,,7,2,2,D,Brandonton,Gonzalez Ranch,M,1,4,2,2,0,1,1,2,3,0,16,30,53.33,BIH,Bihar
BIH_115,Michael,,12,7,7,D,Tammyburgh,Mendez Wells,M,2,2,2,2,2,3,3,0,0,3,19,30,63.33,BIH,Bihar
BIH_116,Tyler,,16,10,10,D,South Nancy,Kenneth Shore,M,0,1,2,1,2,0,1,0,3,0,10,30,33.33,BIH,Bihar
BIH_117,Lori,,9,4,4,D,New Charles,Brian Mall,M,2,1,0,1,2,3,0,2,1,1,13,30,43.33,BIH,Bihar
BIH_118,Sean,,9,4,4,D,Lake Crystal,Robin Landing,F,0,0,1,1,3,2,1,1,3,3,15,30,50.0,BIH,Bihar
BIH_119,Daisy,,6,1,1,D,Juliebury,Leon Stravenue,M,2,3,1,0,4,3,1,1,1,0,16,30,53.33,BIH,Bihar
BIH_120,Gloria,,10,5,5,D,Port Sergiohaven,Taylor Springs,F,0,0,1,2,2,3,0,2,0,2,12,30,40.0,BIH,Bihar
BIH_121,Jonathan,,10,5,5,E,New Daniel,Patrick Inlet,M,2,3,2,1,1,3,2,1,2,2,19,30,63.33,BIH,Bihar
BIH_122,Amanda,,7,2,2,E,Gabrielmouth,Angela Extensions,F,2,3,2,1,1,0,0,1,0,2,12,30,40.0,BIH,Bihar
BIH_123,Katie,,9,4,4,E,Denisebury,Nichols Mountains,M,2,0,1,0,3,2,0,2,3,2,15,30,50.0,BIH,Bihar
BIH_124,Christina,,11,6,6,E,West Christina,Bartlett Dam,M,0,3,1,0,3,1,3,2,0,3,16,30,53.33,BIH,Bihar
BIH_125,Samantha,,14,9,9,E,Port Justinport,Ryan Curve,M,2,0,0,0,1,3,1,0,3,0,10,30,33.33,BIH,Bihar
BIH_126,Brenda,,9,4,4,E,Hancockhaven,Bobby Road,F,0,1,2,2,4,3,2,3,0,1,18,30,60.0,BIH,Bihar
BIH_127,Richard,,14,9,9,E,Anthonymouth,Gonzalez Turnpike,F,1,2,1,1,4,4,2,2,1,3,21,30,70.0,BIH,Bihar
BIH_128,Austin,,15,10,10,E,Adamshire,Margaret Street,F,2,2,1,0,3,4,0,2,2,0,16,30,53.33,BIH,Bihar
BIH_129,Nathan,,14,9,9,E,Torresland,Weiss Lake,M,1,4,2,0,3,3,0,0,1,3,17,30,56.67,BIH,Bihar
BIH_130,Karla,,10,5,5,E,Port Daniellebury,Jessica Square,M,2,2,1,1,2,2,1,3,1,1,16,30,53.33,BIH,Bihar
BIH_131,Philip,,14,9,9,E,North Mariastad,Stark Forge,F,1,0,2,2,4,2,0,1,0,1,13,30,43.33,BIH,Bihar
BIH_132,Dennis,,7,2,2,E,Chaneybury,Charles Path,F,1,1,1,0,0,2,2,1,2,3,13,30,43.33,BIH,Bihar
BIH_133,Adam,,7,2,2,E,Baileymouth,Melissa Pines,F,2,1,0,1,4,3,2,3,0,0,16,30,53.33,BIH,Bihar
BIH_134,Erin,,11,6,6,E,North Margaretchester,Brooke View,M,0,4,0,0,1,0,3,2,0,3,13,30,43.33,BIH,Bihar
BIH_135,Nicholas,,8,3,3,E,East Robert,Roger Pines,M,1,3,1,1,2,4,0,3,2,2,19,30,63.33,BIH,Bihar
BIH_136,Matthew,,6,1,1,E,Tanyaside,Melissa Well,M,1,3,0,2,1,4,3,1,0,2,17,30,56.67,BIH,Bihar
BIH_137,Jennifer,,12,7,7,E,West Walter,Hernandez Well,F,2,4,1,2,3,1,0,0,1,0,14,30,46.67,BIH,Bihar
BIH_138,Daniel,,8,3,3,E,Port Jerome,Mendez Burgs,F,0,0,1,0,2,3,2,1,0,0,9,30,30.0,BIH,Bihar
BIH_139,Dustin,,15,10,10,E,New Jeffville,Smith Freeway,F,0,4,1,2,4,4,3,1,0,1,20,30,66.67,BIH,Bihar
BIH_140,Shannon,,8,3,3,E,North Holly,Wilson Burg,M,2,3,0,0,1,1,2,0,2,1,12,30,40.0,BIH,Bihar
BIH_141,Holly,,7,2,2,E,Raystad,Crawford Crossing,F,0,2,0,1,4,4,3,3,1,1,19,30,63.33,BIH,Bihar
BIH_142,Carl,,15,10,10,E,West Gregoryburgh,Tammy Port,F,1,4,0,0,4,3,3,3,2,0,20,30,66.67,BIH,Bihar
BIH_143,Connie,,10,5,5,E,North Brandon,Hensley Ville,M,2,2,1,2,2,3,1,0,0,0,13,30,43.33,BIH,Bihar
BIH_144,Christine,,14,9,9,E,Maryville,Dunn Crossing,M,1,0,1,0,2,4,2,3,1,1,15,30,50.0,BIH,Bihar
BIH_145,Raymond,,15,10,10,E,Hutchinsonstad,Casey Center,M,2,1,0,1,0,1,1,0,0,3,9,30,30.0,BIH,Bihar
BIH_146,Cristina,,6,1,1,E,East Tara,Villanueva Plains,F,2,2,0,0,0,4,1,1,3,0,13,30,43.33,BIH,Bihar
BIH_147,Shawn,,10,5,5,E,Markberg,Amy Extension,F,0,1,2,1,2,2,1,3,3,3,18,30,60.0,BIH,Bihar
BIH_148,Rebecca,,16,10,10,E,Gutierrezfort,Derrick Well,F,0,1,1,1,0,3,0,1,1,2,10,30,33.33,BIH,Bihar
BIH_149,Diana,,11,6,6,E,Calhounport,Shawn Place,M,2,3,1,1,1,0,0,1,0,3,12,30,40.0,BIH,Bihar
BIH_150,Jessica,,13,8,8,E,North Linda,Potter Squares,F,1,3,0,1,4,4,0,2,1,3,19,30,63.33,BIH,Bihar
PAT_1,Paul,,13,8,8,A,Martinborough,Cabrera Cliff,M,2,3,0,2,3,0,0,0,0,2,12,30,40.0,PAT,Patna
PAT_2,Jeremy,,14,9,9,A,Alexanderport,Campbell Circle,M,1,3,0,1,1,2,2,0,3,3,16,30,53.33,PAT,Patna
PAT_3,Jeffrey,,11,6,6,A,Port Lisaville,Good Ways,F,0,0,2,0,3,2,0,2,0,0,9,30,30.0,PAT,Patna
PAT_4,Rachael,,13,8,8,A,Juarezmouth,Denise Ville,M,1,3,0,0,4,1,0,2,0,3,14,30,46.67,PAT,Patna
PAT_5,Dawn,,7,2,2,A,South Lindsey,Paige Walks,M,2,0,2,0,1,4,2,1,0,3,15,30,50.0,PAT,Patna
PAT_6,Jason,,15,10,10,A,West Johnland,Bush Fork,F,1,0,0,0,2,3,0,1,1,2,10,30,33.33,PAT,Patna
PAT_7,Ashley,,8,3,3,A,Stacymouth,Eric Forge,F,2,2,0,1,0,0,1,1,0,2,9,30,30.0,PAT,Patna
PAT_8,Jason,,13,8,8,A,Simmonston,Landry Tunnel,F,2,4,2,0,0,4,3,2,2,1,20,30,66.67,PAT,Patna
PAT_9,Jason,,13,8,8,A,Waltersside,Joshua Causeway,M,2,2,2,1,3,1,3,3,2,0,19,30,63.33,PAT,Patna
PAT_10,Jennifer,,8,3,3,A,Cathychester,Janet Forges,M,2,0,2,0,3,0,0,0,1,0,8,30,26.67,PAT,Patna
PAT_11,Isaiah,,9,4,4,A,Wesleybury,Adams Manors,M,0,2,1,2,4,1,1,0,2,3,16,30,53.33,PAT,Patna
PAT_12,Dylan,,9,4,4,A,Poolestad,Scott Track,F,1,1,2,1,1,3,3,0,0,1,13,30,43.33,PAT,Patna
PAT_13,Elizabeth,,7,2,2,A,Thomasshire,Johnson Divide,M,0,4,2,2,2,3,0,1,1,2,17,30,56.67,PAT,Patna
PAT_14,Jessica,,12,7,7,A,North Jessicamouth,Keith Bridge,M,0,3,0,1,0,3,2,1,3,2,15,30,50.0,PAT,Patna
PAT_15,Vincent,,16,10,10,A,West Ronaldfurt,Martinez Orchard,F,1,2,1,1,4,1,2,2,2,0,16,30,53.33,PAT,Patna
PAT_16,Shelby,,7,2,2,A,Rhondaview,Julie Station,M,1,1,1,0,2,3,1,3,0,3,15,30,50.0,PAT,Patna
PAT_17,Cindy,,8,3,3,A,Melissafort,Baldwin Field,M,0,3,0,2,3,4,0,1,2,1,16,30,53.33,PAT,Patna
PAT_18,Samantha,,13,8,8,A,North Martin,Jeanne Point,F,1,0,2,0,4,1,1,2,2,0,13,30,43.33,PAT,Patna
PAT_19,Mark,,11,6,6,A,East Robertbury,Tyler Union,M,1,3,1,1,3,1,0,2,2,2,16,30,53.33,PAT,Patna
PAT_20,Clifford,,8,3,3,A,Tammyhaven,Kim Spring,M,1,1,0,1,2,4,0,1,1,2,13,30,43.33,PAT,Patna
PAT_21,George,,15,10,10,A,South Samuelport,Welch Road,F,1,3,2,2,1,0,0,0,2,2,13,30,43.33,PAT,Patna
PAT_22,Gina,,12,7,7,A,Chapmanland,Michael Forks,M,0,0,1,2,0,0,1,1,2,0,7,30,23.33,PAT,Patna
PAT_23,Daniel,,6,1,1,A,Andrewstad,Valenzuela Village,M,0,0,0,1,0,4,0,1,0,1,7,30,23.33,PAT,Patna
PAT_24,Richard,,11,6,6,A,Alvarezbury,Michael Underpass,M,1,4,0,0,2,3,3,0,2,1,16,30,53.33,PAT,Patna
PAT_25,Joan,,6,1,1,A,South Kaitlinport,Heather Drive,M,2,4,2,2,1,3,3,2,0,3,22,30,73.33,PAT,Patna
PAT_26,Lynn,,6,1,1,A,Gilbertside,Theresa Ridge,M,1,1,0,1,0,2,0,2,3,1,11,30,36.67,PAT,Patna
PAT_27,Douglas,,13,8,8,A,Ronaldport,Johnny Mountain,M,1,1,2,2,2,2,1,1,1,0,13,30,43.33,PAT,Patna
PAT_28,Wesley,,8,3,3,A,Port Ambermouth,James Heights,F,1,2,0,0,0,0,1,0,1,0,5,30,16.67,PAT,Patna
PAT_29,Katherine,,6,1,1,A,Morseborough,Kristen Mission,F,1,1,2,2,1,3,2,0,3,0,15,30,50.0,PAT,Patna
PAT_30,Andrew,,16,10,10,A,New Shelleymouth,Rachel Hill,M,2,2,0,2,4,0,1,1,2,0,14,30,46.67,PAT,Patna
PAT_31,Christopher,,6,1,1,B,South Robert,Holloway Course,F,1,0,2,2,1,1,0,3,0,2,12,30,40.0,PAT,Patna
PAT_32,Helen,,12,7,7,B,New Isaac,Patricia Island,F,2,0,0,2,2,3,0,2,3,1,15,30,50.0,PAT,Patna
PAT_33,Paige,,7,2,2,B,Port Kevinside,Williams Port,M,0,2,1,1,4,0,0,3,3,1,15,30,50.0,PAT,Patna
PAT_34,Paul,,6,1,1,B,Michaelamouth,Williams Isle,F,1,0,1,2,2,1,1,1,2,3,14,30,46.67,PAT,Patna
PAT_35,Oscar,,10,5,5,B,West Rachel,Smith Via,F,0,3,0,1,1,4,3,2,3,1,18,30,60.0,PAT,Patna
PAT_36,Mark,,11,6,6,B,Samanthafort,Hughes Field,M,2,2,1,2,4,0,2,1,0,1,15,30,50.0,PAT,Patna
PAT_37,Jessica,,11,6,6,B,Lanebury,Gonzalez Wall,F,1,1,0,2,3,2,2,2,1,0,14,30,46.67,PAT,Patna
PAT_38,Robert,,12,7,7,B,Port Markmouth,Christian Mountain,F,1,0,1,1,2,2,1,3,3,3,17,30,56.67,PAT,Patna
